folder,segment,picture,jpg
Death,0,60,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.8825858--117.1024223-270.jpg
Death,1,135,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.8871361--117.1066193-180.jpg
Death,2,435,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.88187270988636--117.10456996124474-180.jpg
Death,3,468,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.8825858--117.1024223-0.jpg
Death,4,521,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.892710199999996--117.1181139-90.jpg
Death,5,579,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.88187270988636--117.10456996124474-270.jpg
Death,6,603,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.883600799999996--117.08892869999998-270.jpg
Death,7,614,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-35.35313417228356--119.03355837043816-270.jpg
Death,8,772,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.8902509--117.108779-0.jpg
Death,9,836,Death+Valley+Junction+California+92328+USA-CA+190+California+USA-34.88354660019148--117.10244825934164-0.jpg
Kings,0,242,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.195596599999995--120.09948270000001-90.jpg
Kings,1,596,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.168312--120.14453220000001-270.jpg
Kings,2,678,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.170133199999995--120.1420191-180.jpg
Kings,3,833,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.1689322--120.1435168-0.jpg
Kings,4,1047,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.183275699999996--120.11890140000001-270.jpg
Kings,5,1130,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.162763399999996--120.14450400000001-90.jpg
Kings,6,1156,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.165941499999995--120.14338370000002-0.jpg
Kings,7,1239,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.237732026386816--120.02690682402248-270.jpg
Kings,8,1254,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.1627552--120.1444736-90.jpg
Kings,9,1322,Kings+Beach+California+USA-Camp+Richardson+California+96150+USA-39.1736587--120.13582059999997-90.jpg
Mendocino,0,39,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.2696748045722--123.7809818571188-180.jpg
Mendocino,1,112,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.30789439016649--123.79871006572273-270.jpg
Mendocino,2,200,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.308433975637996--123.79771698583528-270.jpg
Mendocino,3,432,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.20137346074975--123.74991081734726-180.jpg
Mendocino,4,546,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.2850199--123.78583799999998-180.jpg
Mendocino,5,628,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.285392699999996--123.78205489999999-180.jpg
Mendocino,6,732,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.23548769999999--123.758053-90.jpg
Mendocino,7,815,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.285007199999995--123.7867481-0.jpg
Mendocino,8,915,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.2743976--123.79030159999999-90.jpg
Mendocino,9,1446,Mendocino+California+USA-Bodega+Bay+California+94923+USA-39.2728511--123.79016229999998-180.jpg
origin=1415,0,1,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.88289819999999--122.2482171-0.jpg
origin=1415,1,11,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.8834151--122.2475947-0.jpg
origin=1415,2,34,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.883131999999996--122.2479802-0.jpg
origin=1415,3,41,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.88286604623358--122.24824981674382-0.jpg
origin=1415,4,72,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.8823367--122.24834580000001-90.jpg
origin=1415,5,84,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.883209199999996--122.24788160000001-0.jpg
origin=1415,6,94,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.883824499999996--122.24696859999999-0.jpg
origin=1415,7,99,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.8823924--122.24831379999998-180.jpg
origin=1415,8,100,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.883209199999996--122.24788160000001-90.jpg
origin=1415,9,106,origin=1415+Summit+Rd+Berkeley+CA+94708+USA&-destination=4348+Grizzly+Peak+Blvd+Berkeley+CA+94705+USA&-37.883131999999996--122.2479802-270.jpg
Sand,0,4,Sand+City+California+USA-Gorda+California+93920+USA-36.617877127682746--121.8493851850568-270.jpg
Sand,1,67,Sand+City+California+USA-Gorda+California+93920+USA-36.61749323376309--121.84963736586869-180.jpg
Sand,2,116,Sand+City+California+USA-Gorda+California+93920+USA-35.87734003605693--121.44658382933414-270.jpg
Sand,3,156,Sand+City+California+USA-Gorda+California+93920+USA-36.61768142266826--121.84951374449504-180.jpg
Sand,4,249,Sand+City+California+USA-Gorda+California+93920+USA-36.61641563790205--121.85042143414515-270.jpg
Sand,5,337,Sand+City+California+USA-Gorda+California+93920+USA-35.87728837128407--121.44653729683567-270.jpg
Sand,6,351,Sand+City+California+USA-Gorda+California+93920+USA-35.877379383714846--121.44662138659098-270.jpg
Sand,7,413,Sand+City+California+USA-Gorda+California+93920+USA-36.61202477063444--121.85579250868781-90.jpg
Sand,8,541,Sand+City+California+USA-Gorda+California+93920+USA-36.61701070298426--121.84995433740644-180.jpg
Sand,9,622,Sand+City+California+USA-Gorda+California+93920+USA-36.616518024945485--121.85033810226864-180.jpg
